dataset,task,test_seed,mode,n_test,pos_rate,auc,auc_lo,auc_hi,probe,probe_feature,probe_datarobot,probe_h2o,seconds,inflation_pp,probe_delta
olist,B_seller_quality,2018-01-01,delta60,763,0.455,0.710728,0.6708,0.7512,0.744434,review_score_mean,silent,silent,1.2,13.4546,0.1726
olist,B_seller_quality,2018-01-01,delta90,763,0.455,0.827082,0.7998,0.8539,0.839195,review_score_mean,silent,warning,1.2,25.09,0.2674
olist,B_seller_quality,2018-01-01,nocut,763,0.455,0.742324,0.705,0.7792,0.795545,review_score_mean,silent,silent,1.4,16.6142,0.2237
olist,B_seller_quality,2018-04-01,pit,852,0.332,0.592497,0.5509,0.6308,0.609957,review_score_mean,silent,silent,1.3,0.0,0.0
olist,B_seller_quality,2018-04-01,naive,852,0.332,0.64514,0.6021,0.6775,0.686562,review_score_mean,silent,silent,1.2,5.2643,0.0766
olist,B_seller_quality,2018-04-01,delta5,852,0.332,0.589249,0.5507,0.6302,0.643094,review_score_mean,silent,silent,1.3,-0.3248,0.0331
olist,B_seller_quality,2018-04-01,delta10,852,0.332,0.626721,0.584,0.6633,0.668938,review_score_mean,silent,silent,1.3,3.4224,0.059
olist,B_seller_quality,2018-04-01,delta15,852,0.332,0.628758,0.5898,0.6667,0.685779,review_score_mean,silent,silent,1.2,3.6261,0.0758
olist,B_seller_quality,2018-04-01,delta20,852,0.332,0.647326,0.6101,0.6809,0.69937,review_score_mean,silent,silent,1.1,5.4829,0.0894
olist,B_seller_quality,2018-04-01,delta30,852,0.332,0.679221,0.6418,0.7192,0.723428,review_score_mean,silent,silent,1.4,8.6724,0.1135
olist,B_seller_quality,2018-04-01,delta45,852,0.332,0.724183,0.6869,0.7593,0.76879,review_score_mean,silent,silent,1.6,13.1686,0.1588
olist,B_seller_quality,2018-04-01,delta60,852,0.332,0.763394,0.728,0.7954,0.789156,review_score_mean,silent,silent,1.6,17.0897,0.1792
olist,B_seller_quality,2018-04-01,delta90,852,0.332,0.809827,0.7802,0.8399,0.819344,review_score_mean,silent,warning,1.7,21.733,0.2094
olist,B_seller_quality,2018-04-01,nocut,852,0.332,0.726642,0.6971,0.7595,0.803893,review_score_mean,silent,warning,1.8,13.4145,0.1939
olist,B_seller_quality,2018-07-01,pit,867,0.195,0.588757,0.5347,0.6282,0.602313,review_score_mean,silent,silent,1.6,0.0,0.0
olist,B_seller_quality,2018-07-01,naive,867,0.195,0.626532,0.5725,0.6721,0.657021,review_score_mean,silent,silent,1.6,3.7775,0.0547
olist,B_seller_quality,2018-07-01,delta5,867,0.195,0.594276,0.5446,0.6429,0.640702,review_score_mean,silent,silent,1.8,0.5519,0.0384
olist,B_seller_quality,2018-07-01,delta10,867,0.195,0.639977,0.5741,0.6872,0.651723,review_score_mean,silent,silent,1.8,5.122,0.0494
olist,B_seller_quality,2018-07-01,delta15,867,0.195,0.637053,0.5797,0.6751,0.669559,review_score_mean,silent,silent,1.8,4.8296,0.0672
olist,B_seller_quality,2018-07-01,delta20,867,0.195,0.630101,0.5737,0.6761,0.676455,review_score_mean,silent,silent,1.8,4.1344,0.0741
olist,B_seller_quality,2018-07-01,delta30,867,0.195,0.647013,0.5943,0.684,0.708546,review_score_mean,silent,silent,1.8,5.8256,0.1062
olist,B_seller_quality,2018-07-01,delta45,867,0.195,0.721173,0.6741,0.7669,0.777585,review_score_mean,silent,silent,1.8,13.2416,0.1753
olist,B_seller_quality,2018-07-01,delta60,867,0.195,0.758787,0.7189,0.7969,0.818772,review_score_mean,silent,warning,1.9,17.003,0.2165
olist,B_seller_quality,2018-07-01,delta90,867,0.195,0.787313,0.7517,0.8188,0.833624,review_score_mean,silent,warning,1.9,19.8556,0.2313
olist,B_seller_quality,2018-07-01,nocut,867,0.195,0.769019,0.7323,0.8013,0.833624,review_score_mean,silent,warning,2.1,18.0262,0.2313
olist,C_product_demand,2018-01-01,pit,4490,0.442,0.71378,0.698,0.728,0.714296,own_days_since_last,silent,silent,1.7,0.0,0.0
olist,C_product_demand,2018-01-01,naive,4490,0.442,0.72364,0.707,0.7397,0.714296,own_days_since_last,silent,silent,1.6,0.986,0.0
olist,C_product_demand,2018-01-01,own_only,4490,0.442,0.942075,0.9331,0.9517,0.949719,own_days_since_last,warning,warning,1.8,22.8295,0.2354
olist,C_product_demand,2018-01-01,join_only,4490,0.442,0.764356,0.7502,0.7805,0.714296,own_days_since_last,silent,silent,1.7,5.0576,0.0
olist,C_product_demand,2018-01-01,naive_nbr,4490,0.442,0.721661,0.7059,0.7378,0.714296,own_days_since_last,silent,silent,1.6,0.7881,0.0
olist,C_product_demand,2018-01-01,both60,4490,0.442,0.946207,0.9376,0.9558,0.949719,own_days_since_last,warning,warning,1.7,23.2427,0.2354
olist,C_product_demand,2018-01-01,delta5,4490,0.442,0.74902,0.7338,0.7636,0.748786,own_days_since_last,silent,silent,1.6,3.524,0.0345
olist,C_product_demand,2018-01-01,delta10,4490,0.442,0.784934,0.7726,0.7996,0.777118,own_days_since_last,silent,silent,1.6,7.1154,0.0628
olist,C_product_demand,2018-01-01,delta15,4490,0.442,0.809823,0.7976,0.824,0.809194,own_days_since_last,silent,warning,1.5,9.6043,0.0949
olist,C_product_demand,2018-01-01,delta20,4490,0.442,0.835866,0.825,0.8487,0.835084,own_days_since_last,silent,warning,1.4,12.2086,0.1208
olist,C_product_demand,2018-01-01,delta30,4490,0.442,0.867114,0.8549,0.878,0.872059,own_days_since_last,silent,warning,1.4,15.3334,0.1578
olist,C_product_demand,2018-01-01,delta45,4490,0.442,0.908524,0.8986,0.9193,0.915108,own_days_since_last,silent,warning,1.5,19.4744,0.2008
olist,C_product_demand,2018-01-01,delta60,4490,0.442,0.946207,0.9376,0.9558,0.949719,own_days_since_last,warning,warning,3.0,23.2427,0.2354
olist,C_product_demand,2018-01-01,delta90,4490,0.442,1.0,1.0,1.0,1.0,own_days_since_last,auto-drop,auto-drop,2.8,28.622,0.2857
olist,C_product_demand,2018-01-01,nocut,4490,0.442,0.98372,0.9813,0.9864,0.871106,own_days_since_last,silent,warning,3.4,26.994,0.1568
olist,C_product_demand,2018-04-01,pit,5478,0.397,0.745292,0.7338,0.759,0.722114,own_days_since_last,silent,silent,2.8,0.0,0.0
olist,C_product_demand,2018-04-01,naive,5478,0.397,0.748011,0.7374,0.7606,0.722114,own_days_since_last,silent,silent,4.3,0.2719,0.0
olist,C_product_demand,2018-04-01,own_only,5478,0.397,0.948438,0.9402,0.9552,0.952047,own_days_since_last,warning,warning,4.5,20.3146,0.2299
