file,dataset,task,regime,n_train,n_test,pos_rate,n_features,auc,probe,probe_feature,probe_datarobot,probe_h2o,seconds,inflation_pp
stack_user-badge,stack,user-badge,as_published,708038,255360,0.026,44,0.859477,0.767955,num_posts_commented,silent,silent,68.2,-0.0244
stack_user-badge,stack,user-badge,corrected,708038,255360,0.026,44,0.859721,0.767955,num_posts_commented,silent,silent,52.4,0.0
