task,seed,mode,what,published,generic,status
C_product_demand,2018-07-01,own_only,AUC,1.0,1.0,ok
C_product_demand,2018-07-01,own_only,probe,1.0,1.0,ok
C_product_demand,2018-07-01,join_only,AUC,0.772038,0.772038,ok
C_product_demand,2018-07-01,join_only,probe,0.717,0.7171,ok
C_product_demand,2018-07-01,naive_nbr,AUC,0.74316,0.74316,ok
C_product_demand,2018-07-01,naive_nbr,probe,0.717,0.7171,ok
C_product_demand,2018-07-01,both60,AUC,1.0,1.0,ok
C_product_demand,2018-07-01,both60,probe,1.0,1.0,ok
C_product_demand,2018-07-01,nocut,AUC,1.0,1.0,ok
C_product_demand,2018-07-01,nocut,probe,1.0,1.0,ok
A_seller_activity,2018-01-01,pit,AUC,0.838796,0.838796,ok
A_seller_activity,2018-01-01,delta5,AUC,0.872299,0.872299,ok
A_seller_activity,2018-01-01,delta10,AUC,0.896626,0.896626,ok
A_seller_activity,2018-01-01,delta15,AUC,0.906939,0.906939,ok
A_seller_activity,2018-01-01,delta20,AUC,0.926054,0.926054,ok
A_seller_activity,2018-01-01,delta30,AUC,0.946177,0.946177,ok
A_seller_activity,2018-01-01,delta45,AUC,0.964441,0.964441,ok
A_seller_activity,2018-01-01,delta60,AUC,0.975765,0.975765,ok
A_seller_activity,2018-01-01,delta90,AUC,1.0,1.0,ok
A_seller_activity,2018-04-01,pit,AUC,0.860309,0.860309,ok
A_seller_activity,2018-04-01,delta5,AUC,0.885557,0.885557,ok
A_seller_activity,2018-04-01,delta10,AUC,0.904845,0.904845,ok
A_seller_activity,2018-04-01,delta15,AUC,0.916006,0.916006,ok
A_seller_activity,2018-04-01,delta20,AUC,0.927235,0.927235,ok
A_seller_activity,2018-04-01,delta30,AUC,0.947359,0.947359,ok
A_seller_activity,2018-04-01,delta45,AUC,0.968912,0.968912,ok
A_seller_activity,2018-04-01,delta60,AUC,0.979877,0.979877,ok
A_seller_activity,2018-04-01,delta90,AUC,1.0,1.0,ok
A_seller_activity,2018-07-01,pit,AUC,0.831072,0.831072,ok
A_seller_activity,2018-07-01,delta5,AUC,0.861701,0.861701,ok
A_seller_activity,2018-07-01,delta10,AUC,0.876454,0.876454,ok
A_seller_activity,2018-07-01,delta15,AUC,0.895902,0.895902,ok
A_seller_activity,2018-07-01,delta20,AUC,0.917178,0.917178,ok
A_seller_activity,2018-07-01,delta30,AUC,0.945789,0.945789,ok
A_seller_activity,2018-07-01,delta45,AUC,0.98357,0.98357,ok
A_seller_activity,2018-07-01,delta60,AUC,1.0,1.0,ok
A_seller_activity,2018-07-01,delta90,AUC,1.0,1.0,ok
B_seller_quality,2018-01-01,pit,AUC,0.576182,0.576182,ok
B_seller_quality,2018-01-01,delta5,AUC,0.598592,0.598592,ok
B_seller_quality,2018-01-01,delta10,AUC,0.598724,0.598724,ok
B_seller_quality,2018-01-01,delta15,AUC,0.606199,0.606199,ok
B_seller_quality,2018-01-01,delta20,AUC,0.628789,0.628789,ok
B_seller_quality,2018-01-01,delta30,AUC,0.652807,0.652807,ok
B_seller_quality,2018-01-01,delta45,AUC,0.695758,0.695758,ok
B_seller_quality,2018-01-01,delta60,AUC,0.710728,0.710728,ok
B_seller_quality,2018-01-01,delta90,AUC,0.827082,0.827082,ok
B_seller_quality,2018-04-01,pit,AUC,0.592497,0.592497,ok
B_seller_quality,2018-04-01,delta5,AUC,0.589249,0.589249,ok
B_seller_quality,2018-04-01,delta10,AUC,0.626721,0.626721,ok
B_seller_quality,2018-04-01,delta15,AUC,0.628758,0.628758,ok
B_seller_quality,2018-04-01,delta20,AUC,0.647326,0.647326,ok
B_seller_quality,2018-04-01,delta30,AUC,0.679221,0.679221,ok
B_seller_quality,2018-04-01,delta45,AUC,0.724183,0.724183,ok
B_seller_quality,2018-04-01,delta60,AUC,0.763394,0.763394,ok
B_seller_quality,2018-04-01,delta90,AUC,0.809827,0.809827,ok
B_seller_quality,2018-07-01,pit,AUC,0.588757,0.588757,ok
B_seller_quality,2018-07-01,delta5,AUC,0.594276,0.594276,ok
B_seller_quality,2018-07-01,delta10,AUC,0.639977,0.639977,ok
B_seller_quality,2018-07-01,delta15,AUC,0.637053,0.637053,ok
B_seller_quality,2018-07-01,delta20,AUC,0.630101,0.630101,ok
B_seller_quality,2018-07-01,delta30,AUC,0.647013,0.647013,ok
B_seller_quality,2018-07-01,delta45,AUC,0.721173,0.721173,ok
B_seller_quality,2018-07-01,delta60,AUC,0.758787,0.758787,ok
B_seller_quality,2018-07-01,delta90,AUC,0.787313,0.787313,ok
