task,seed,n,pos_rate,n_classes
A_seller_activity,2018-01-01,1479,0.674,2
A_seller_activity,2018-04-01,1685,0.653,2
A_seller_activity,2018-07-01,2012,0.625,2
B_seller_quality,2018-01-01,763,0.455,2
B_seller_quality,2018-04-01,852,0.332,2
B_seller_quality,2018-07-01,867,0.195,2
C_product_demand,2018-01-01,4490,0.442,2
C_product_demand,2018-04-01,5478,0.397,2
C_product_demand,2018-07-01,5842,0.331,2
