dataset,seed,leak,model,val,test,gap,p_single,p_dup,p_cvgap
churn,1,признак_из_цели,logit,0.9616528239202657,0.6789867109634552,0.28266611295681054,,,
churn,1,признак_из_цели,__probes__,,,,0.9415422807861562,0.0,-0.0031468960387397438
churn,1,дубликаты,rf,0.9439807131829029,0.9275913621262459,0.016389351056656953,,,
churn,1,дубликаты,hgb,0.9424202643681009,0.9115614617940199,0.030858802574081023,,,
churn,1,дубликаты,logit,0.818566863993263,0.8211129568106311,-0.002546092817368173,,,
churn,1,дубликаты,__probes__,,,,0.6439575224040369,0.25,0.029512152582100493
churn,1,предобработка_до_сплита,rf,0.8161394991702378,0.9269808970099668,-0.11084139783972902,,,
churn,1,предобработка_до_сплита,hgb,0.8305137922208735,0.9115614617940199,-0.08104766957314635,,,
churn,1,предобработка_до_сплита,logit,0.7342778589651502,0.7672757475083056,-0.03299788854315544,,,
churn,1,предобработка_до_сплита,__probes__,,,,0.6439575224040369,0.0,-0.07826598350814684
churn,2,нет,rf,0.9269975083056479,0.9058606773118091,0.021136830993838784,,,
churn,2,нет,hgb,0.9393438538205979,0.9132429248239039,0.02610092899669403,,,
churn,2,нет,logit,0.8299252491694353,0.7967981015884156,0.033127147581019756,,,
churn,2,нет,__probes__,,,,0.649796511627907,0.0,0.029635117834514113
churn,2,признак_из_цели,rf,0.9886046511627907,0.8378788258591733,0.15072582530361744,,,
churn,2,признак_из_цели,hgb,0.9882475083056478,0.815690304898938,0.17255720340670977,,,
churn,2,признак_из_цели,logit,0.9693521594684384,0.6749889287176531,0.2943632307507853,,,
churn,2,признак_из_цели,__probes__,,,,0.9457599667774086,0.0,0.014712260347470196
churn,2,дубликаты,rf,0.9558468003634475,0.9058606773118091,0.04998612305163841,,,
churn,2,дубликаты,hgb,0.9626168224299065,0.9132429248239039,0.04937389760600264,,,
churn,2,дубликаты,logit,0.8373572170301143,0.7967981015884156,0.04055911544169877,,,
churn,2,дубликаты,__probes__,,,,0.649796511627907,0.25,0.05152159200507056
churn,2,предобработка_до_сплита,rf,0.8362620067497404,0.904385898946348,-0.06812389219660764,,,
churn,2,предобработка_до_сплита,hgb,0.8474899402907581,0.9132429248239039,-0.06575298453314582,,,
churn,2,предобработка_до_сплита,logit,0.7224899402907581,0.7428454448984366,-0.020355504607678543,,,
churn,2,предобработка_до_сплита,__probes__,,,,0.649796511627907,0.0,-0.06701127246512639
coil2000,0,нет,rf,0.702363154955961,0.6804247194654083,0.021938435490552743,,,
coil2000,0,нет,hgb,0.6816585313136043,0.6518579225130137,0.029800608800590656,,,
coil2000,0,нет,logit,0.7099731623408201,0.6599812676741296,0.04999189466669052,,,
coil2000,0,нет,__probes__,,,,0.6807534357607306,0.092,0.00509478355190307
coil2000,0,признак_из_цели,rf,0.8919649129126964,0.6115564041139069,0.28040850879878954,,,
coil2000,0,признак_из_цели,hgb,0.9214323024550153,0.5613573731515337,0.3600749293034816,,,
coil2000,0,признак_из_цели,logit,0.9477476179325997,0.5504241791098542,0.39732343882274546,,,
coil2000,0,признак_из_цели,__probes__,,,,0.9330994794574831,0.0,0.008961800824090704
coil2000,0,дубликаты,rf,0.7955311832264956,0.6804247194654083,0.11510646376108735,,,
coil2000,0,дубликаты,hgb,0.7592397836538461,0.6518579225130137,0.10738186114083248,,,
coil2000,0,дубликаты,logit,0.7490568242521367,0.6599812676741296,0.08907555657800714,,,
coil2000,0,дубликаты,__probes__,,,,0.6807534357607306,0.316,0.07138844309117787
coil2000,0,предобработка_до_сплита,rf,0.5859625400641025,0.6820097624236747,-0.09604722235957219,,,
coil2000,0,предобработка_до_сплита,hgb,0.5543953659188035,0.6518579225130137,-0.09746255659421021,,,
coil2000,0,предобработка_до_сплита,logit,0.6272452590811967,0.6739224409661557,-0.04667718188495906,,,
coil2000,0,предобработка_до_сплита,__probes__,,,,0.6807534357607306,0.092,-0.1337397620370272
coil2000,1,нет,rf,0.7102433401177976,0.6806858913164864,0.02955744880131117,,,
coil2000,1,нет,hgb,0.7113690808552027,0.6766332246618274,0.03473585619337527,,,
coil2000,1,нет,logit,0.7048307786523532,0.7337758244925161,-0.028945045840162886,,,
coil2000,1,нет,__probes__,,,,0.6592968173057873,0.081,0.02093082735526086
coil2000,1,признак_из_цели,rf,0.9338965038995659,0.6493362632612258,0.28456024063834007,,,
coil2000,1,признак_из_цели,hgb,0.9638141897368467,0.6676813343179813,0.29613285541886547,,,
coil2000,1,признак_из_цели,logit,0.9612745186332607,0.6741656009654353,0.2871089176678254,,,
coil2000,1,признак_из_цели,__probes__,,,,0.9466579008987914,0.0,0.01806051811251741
coil2000,1,дубликаты,rf,0.7968192145407336,0.6806858913164864,0.11613332322424719,,,
coil2000,1,дубликаты,hgb,0.7867474034404414,0.6766332246618274,0.11011417877861396,,,
coil2000,1,дубликаты,logit,0.7595443849399546,0.7337758244925161,0.02576856044743847,,,
