model,score_test,score_val,fit_time,dataset,time_limit
LightGBM_r30,0.9212921127814744,0.9346446257934018,1.6617100238800049,magic,300
LightGBM_r188,0.9211065168511977,0.9338425054055939,0.7223389148712158,magic,300
ExtraTrees_r49,0.921057835951453,0.9253592104345401,0.5392961502075195,magic,300
ExtraTreesGini,0.921057835951453,0.9253592104345401,0.6459553241729736,magic,300
LightGBM_r15,0.920726197321942,0.9299190904652297,0.4344050884246826,magic,300
LightGBM_r196,0.9207261973219419,0.9356211201785589,4.647974967956543,magic,300
CatBoost_r163,0.9206014525163461,0.9406779661016949,0.8452427387237549,magic,300
LightGBMXT,0.9204158565860694,0.9357954941759085,0.5000874996185303,magic,300
ExtraTreesEntr,0.9201952712591009,0.9252458673362627,0.6296463012695312,magic,300
XGBoost_r31,0.9198043027830262,0.9350282485875706,1.7404663562774658,magic,300
ExtraTrees_r126,0.9189158763626849,0.9237985631582618,0.611065149307251,magic,300
RandomForestEntr,0.9182769395535352,0.9296749668689405,1.2464404106140137,magic,300
ExtraTrees_r42,0.918260205494248,0.9242519355513705,0.6631617546081543,magic,300
LightGBM_r131,0.9179665988176626,0.9269024203110833,0.7805452346801758,magic,300
ExtraTrees_r197,0.917863151905705,0.9263444235195647,0.708345890045166,magic,300
LightGBM,0.9173459173459172,0.9269896073097579,0.4030599594116211,magic,300
XGBoost_r49,0.9169412573667892,0.9319243914347491,0.674638032913208,magic,300
LightGBM_r42,0.9169138743606828,0.9304422124572782,0.4130096435546875,magic,300
CatBoost_r143,0.9167374060991083,0.9385854781335008,1.4729716777801514,magic,300
CatBoost_r167,0.9164635760380441,0.9424217060751899,1.2533512115478516,magic,300
LightGBM_r121,0.9163753419072568,0.9257166771291065,1.7873122692108154,magic,300
LightGBM_r161,0.9163327461199802,0.9252284299365279,1.7761034965515137,magic,300
XGBoost_r98,0.9162627673265971,0.9274952919020716,2.0654592514038086,magic,300
LightGBM_r96,0.9161897459769801,0.9356036827788241,1.4324967861175537,magic,300
XGBoost,0.9159767670405967,0.9344528143963171,0.4652254581451416,magic,300
LightGBM_r143,0.9159280861408521,0.9249668689405036,0.995025634765625,magic,300
XGBoost_r33,0.9155264687179581,0.9246181209458044,1.286020278930664,magic,300
LightGBM_r130,0.9154930005993835,0.9286287228848434,0.35346531867980957,magic,300
XGBoost_r194,0.9154504048121068,0.9331450094161959,0.48715758323669434,magic,300
XGBoost_r95,0.9147475743220423,0.9361965543698123,0.3840503692626953,magic,300
RandomForestGini,0.9147323615408723,0.9292041570760968,1.18984055519104,magic,300
RandomForest_r166,0.9147323615408723,0.9292041570760968,1.1749122142791748,magic,300
LightGBM_r135,0.9146076167352761,0.9303375880588686,0.47368574142456055,magic,300
ExtraTrees_r178,0.914248595099659,0.925141242937853,0.6153676509857178,magic,300
XGBoost_r22,0.9140173608258714,0.9299714026644346,0.4174065589904785,magic,300
LightGBM_r94,0.9138317648955948,0.9314884564413755,0.7344274520874023,magic,300
ExtraTrees_r172,0.9132293387612537,0.9259433633256609,0.6306354999542236,magic,300
XGBoost_r34,0.912785125551083,0.9237636883587919,0.7663688659667969,magic,300
RandomForest_r15,0.9125478061648274,0.9289077212806026,1.8313796520233154,magic,300
XGBoost_r89,0.9120853376172525,0.9335111948106298,0.36835217475891113,magic,300
RandomForest_r39,0.9112395069841879,0.9270593569086978,1.926356315612793,magic,300
LightGBMLarge,0.9097364842045693,0.9175908488526191,1.0653040409088135,magic,300
RandomForest_r195,0.9094504839185691,0.9275911976006137,1.9389739036560059,magic,300
RandomForest_r127,0.9086168235104406,0.9298667782660249,2.2751965522766113,magic,300
RandomForest_r16,0.9078318440020569,0.9277568528980958,2.8686776161193848,magic,300
ExtraTrees_r4,0.9020844552759447,0.9092732091790474,0.5773403644561768,magic,300
RandomForest_r34,0.8987619838683669,0.9132838111180861,1.1779637336730957,magic,300
CatBoost,0.9262697347803731,0.9398758457138872,0.984086275100708,magic,900
CatBoost_r198,0.9254026062536701,0.9405384669038154,1.3928186893463135,magic,900
WeightedEnsemble_L2,0.9250162016119463,0.9439038850526609,1.3688578605651855,magic,900
CatBoost_r180,0.9248914568063504,0.9405210295040802,3.7637457847595215,magic,900
