name,family,holdout,cv,test,dataset,seed
logreg_C0.01_std,linear,0.872554660529344,0.8603068905616675,0.9218266253869969,ionosphere,0
logreg_C0.01_quant,linear,0.7655350978135789,0.7959612044006948,0.8726780185758515,ionosphere,0
logreg_C0.1_std,linear,0.9157077100115074,0.8655906195715113,0.956656346749226,ionosphere,0
logreg_C0.1_quant,linear,0.7376294591484465,0.7742472495657209,0.8575851393188854,ionosphere,0
logreg_C1_std,linear,0.9113924050632911,0.8327301679212508,0.9636222910216719,ionosphere,0
logreg_C1_quant,linear,0.6766398158803222,0.7756948465547192,0.8111455108359134,ionosphere,0
logreg_C10_std,linear,0.8578826237054086,0.7982773595830921,0.9260835913312694,ionosphere,0
logreg_C10_quant,linear,0.6596662830840047,0.7646931094383325,0.7976006191950464,ionosphere,0
logreg_C100_std,linear,0.8199079401611047,0.7889403590040533,0.8711300309597524,ionosphere,0
logreg_C100_quant,linear,0.6554948216340621,0.7654169079328315,0.7964396284829722,ionosphere,0
rf_dNone_fsqrt,rf,0.9733889528193327,0.9667776491024899,0.9831656346749226,ionosphere,0
rf_dNone_f0.3,rf,0.970512082853855,0.9620729588882456,0.9773606811145512,ionosphere,0
rf_dNone_f0.7,rf,0.9641829689298043,0.9553054429646787,0.9705882352941176,ionosphere,0
rf_d4_fsqrt,rf,0.9686421173762946,0.9573682686740012,0.9779411764705883,ionosphere,0
rf_d4_f0.3,rf,0.9680667433831991,0.9505645628257093,0.9744582043343654,ionosphere,0
rf_d4_f0.7,rf,0.9611622554660528,0.939273306311523,0.96671826625387,ionosphere,0
rf_d8_fsqrt,rf,0.9749712313003452,0.9654748118123915,0.9833591331269351,ionosphere,0
rf_d8_f0.3,rf,0.970512082853855,0.9611320208453966,0.978328173374613,ionosphere,0
rf_d8_f0.7,rf,0.9640391254315306,0.9540749855240301,0.9709752321981424,ionosphere,0
rf_d16_fsqrt,rf,0.9733889528193327,0.9667776491024899,0.9831656346749226,ionosphere,0
rf_d16_f0.3,rf,0.970512082853855,0.9620729588882456,0.9773606811145512,ionosphere,0
rf_d16_f0.7,rf,0.9641829689298043,0.9553054429646787,0.9705882352941176,ionosphere,0
et_dNone_fsqrt,et,0.9820195627157653,0.9829545454545454,0.9864551083591332,ionosphere,0
et_dNone_f0.5,et,0.9795742232451093,0.9792993630573248,0.9845201238390092,ionosphere,0
et_d8_fsqrt,et,0.9801495972382048,0.9764765489287782,0.9880030959752322,ionosphere,0
et_d8_f0.5,et,0.9746835443037974,0.9719166184134337,0.9845201238390092,ionosphere,0
hgb_lr0.03_ln15_l20.0,gbdt,0.9415995397008056,0.9362333526346266,0.9736842105263158,ionosphere,0
hgb_lr0.03_ln15_l21.0,gbdt,0.9413118527042578,0.9369571511291256,0.971749226006192,ionosphere,0
hgb_lr0.03_ln31_l20.0,gbdt,0.9415995397008056,0.9362333526346266,0.9736842105263158,ionosphere,0
