задача,базовый_AUC,завышение_пп,проверка_корректно,проверка_утечка,ловит?
A. Активность продавца,0.83–0.86,+12.5…+16.8,0.833–0.861,0.928–1.000,"да, но задевает порог и на корректном"
B. Качество продавца,0.57–0.60,+15.8…+21.8,0.602–0.617,0.810–0.832,НЕТ
C1. Спрос на товар — своя история,0.72–0.75,+19.8…+26.0,0.714–0.722,0.950–1.000,да
C2. Спрос на товар — ТОЛЬКО через соединение,0.72–0.75,+2.8…+4.1,0.714–0.722,0.714–0.722,НЕТ — значение не меняется вовсе
